Nested Sampling Global Log-Evidence           :   -0.667672657155846849E+02  +/-    0.140891710995900560E+00
Nested Importance Sampling Global Log-Evidence:   -0.681725489442546859E+02  +/-    0.488554237152150073E-01

Dim No.       Mean        Sigma
   1    0.176686003487729039E+03    0.157093070171405880E+01
   2    0.707742706239943953E+01    0.332440802263707230E-01
   3    0.853491146560834968E-01    0.280974043014705389E-01
   4    0.109912091148230004E+03    0.136360984846530831E+01
   5    0.108632065621835083E+00    0.748624582658554971E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.175607800728755933E+03
   2    0.705645092770935634E+01
   3    0.889679541553185516E-01
   4    0.110071014766618987E+03
   5    0.600392394680855576E-01

MAP Parameters
Dim No.        Parameter
   1    0.175607800728755933E+03
   2    0.705645092770935634E+01
   3    0.889679541553185516E-01
   4    0.110071014766618987E+03
   5    0.600392394680855576E-01
