    0.441242661321978005E+03    0.101119598856889290E+02    0.118163857639653536E+00    0.113531911456003002E+03    0.834718084086059409E+00   -0.603952832760143750E+02
    0.415489386250061898E+03    0.101002417354925456E+02    0.205874029859656638E+00    0.956747606256088261E+02    0.672564073648127536E+00   -0.567737983723804120E+02
    0.174846475923385555E+03    0.704601062921515453E+01    0.740159412870049493E-01    0.110744759320300162E+03    0.148463807319240165E+00   -0.566680448766147293E+02
    0.182349992726513676E+03    0.730157223909115238E+01    0.722938316159273953E-01    0.896731685657269821E+02    0.138437562931101349E+00   -0.564459143577551288E+02
    0.178277844879382116E+03    0.720044238251649293E+01    0.114789974604384781E+00    0.933915585318754324E+02    0.254061579737699994E+00   -0.561137989582933585E+02
    0.425719702252206162E+03    0.101006427153465346E+02    0.160271606928137800E+00    0.102929497493231324E+03    0.707359382953611338E+00   -0.560399505954633099E+02
    0.436048966313502717E+03    0.100999155730386612E+02    0.190504664570323889E+00    0.111177017459177733E+03    0.671268511390149425E+00   -0.556161534763819176E+02
    0.176778498860408376E+03    0.704749148564334860E+01    0.645948599534742485E-01    0.107522547924930535E+03    0.914516032225063835E+00   -0.555534112555791211E+02
    0.171037959453877875E+03    0.695833479236750563E+01    0.180850502759080101E-01    0.106769383212251057E+03    0.306004870101732773E+00   -0.555262567893674230E+02
    0.424379671541631922E+03    0.100876621191478577E+02    0.231849819158931325E+00    0.102093428127596326E+03    0.651467889435326741E+00   -0.554801025242338213E+02
    0.421705359123585708E+03    0.100898151659476376E+02    0.153871701500376545E+00    0.983377146953687458E+02    0.814589929557086645E+00   -0.553928873600952869E+02
    0.178948181207359767E+03    0.704193975577010445E+01    0.118014426820628238E+00    0.128076978542755853E+03    0.463360490288683258E+00   -0.553923454387821579E+02
    0.173751501401288607E+03    0.699805625701314682E+01    0.432429784800270056E-02    0.106512200854712077E+03    0.608743574073297045E+00   -0.553058894730239459E+02
    0.425252870490344378E+03    0.100896925309355900E+02    0.145969740149290317E+00    0.101093713760117311E+03    0.915157842096806617E+00   -0.552944695361298386E+02
    0.420261693080779878E+03    0.100499985867822872E+02    0.191292306424560188E+00    0.100056439213954192E+03    0.959577693566566303E+00   -0.551873067941841242E+02
